10:30:01,lsass.exe,496,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Groups\000003E8,NAME NOT FOUND,Desired Access: Read/Write
10:31:05,lsass.exe,496,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Aliases\000003E8,NAME NOT FOUND,Desired Access: Read/Write
10:33:09,lsass.exe,496,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Users\000003E8,SUCCESS,Desired Access: Read/Write
10:36:02,lsass.exe,496,RegQueryValue,HKLM\SAM\SAM\Domains\Account\Users\000003E8\V,SUCCESS,"Type: REG_BINARY, Length: 444, Data: 00 00 00 00 BC 00 00 00 02 00 01 00 BC 00 00 00"
10:27:03,lsass.exe,496,RegCloseKey,HKLM\SAM\SAM\Domains\Account\Users\000003E8,SUCCESS,
10:38:07,lsass.exe,496,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Groups\000003E8,NAME NOT FOUND,Desired Access: Read/Write
10:39:05,lsass.exe,496,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Aliases\000003E8,NAME NOT FOUND,Desired Access: Read/Write
10:45:07,lsass.exe,496,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Users\000003E8,SUCCESS,Desired Access: Read/Write
10:45:09,lsass.exe,496,RegQueryValue,HKLM\SAM\SAM\Domains\Account\Users\000003E8\V,SUCCESS,"Type: REG_BINARY, Length: 444, Data: 00 00 00 00 BC 00 00 00 02 00 01 00 BC 00 00 00"
10:46:01,lsass.exe,496,RegCloseKey,HKLM\SAM\SAM\Domains\Account\Users\000003E8,SUCCESS,
10:47:05,svchost.exe,892,ReadFile,C:\Windows\System32\imageres.dll,SUCCESS,"Offset: 6,283,264, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:50:06,svchost.exe,892,ReadFile,C:\Windows\System32\imageres.dll,SUCCESS,"Offset: 6,287,360, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:50:04,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 3,167,232, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:50:01,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 3,171,328, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:50:03,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 3,179,520, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:50:02,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 3,200,000, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:56.5,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 3,224,576, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:57.6,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 3,671,040, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:58.7,svchost.exe,892,ReadFile,C:\Windows\System32\mshtml.dll,SUCCESS,"Offset: 4,322,304, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Priority: Very Low"
10:59.8,chrome.exe,3932,Thread Exit,,SUCCESS,"Thread ID: 3620, User Time: 0.0000000, Kernel Time: 0.0000000"
